date,realtime_end,realtime_start,value
2003-01-01,2018-12-05,2018-12-05,782576
2003-02-01,2018-12-05,2018-12-05,774935
2003-03-01,2018-12-05,2018-12-05,868823
2003-04-01,2018-12-05,2018-12-05,836394
2003-05-01,2018-12-05,2018-12-05,860695
2003-06-01,2018-12-05,2018-12-05,870860
2003-07-01,2018-12-05,2018-12-05,843766
2003-08-01,2018-12-05,2018-12-05,868323
2003-09-01,2018-12-05,2018-12-05,878500
2003-10-01,2018-12-05,2018-12-05,900758
2003-11-01,2018-12-05,2018-12-05,841965
2003-12-01,2018-12-05,2018-12-05,928806
2004-01-01,2018-12-05,2018-12-05,806952
2004-02-01,2018-12-05,2018-12-05,829190
2004-03-01,2018-12-05,2018-12-05,960775
2004-04-01,2018-12-05,2018-12-05,912194
2004-05-01,2018-12-05,2018-12-05,921875
2004-06-01,2018-12-05,2018-12-05,956686
2004-07-01,2018-12-05,2018-12-05,900073
2004-08-01,2018-12-05,2018-12-05,951366
2004-09-01,2018-12-05,2018-12-05,950275
2004-10-01,2018-12-05,2018-12-05,951949
2004-11-01,2018-12-05,2018-12-05,948465
2004-12-01,2018-12-05,2018-12-05,1022229
2005-01-01,2018-12-05,2018-12-05,877196
2005-02-01,2018-12-05,2018-12-05,893159
2005-03-01,2018-12-05,2018-12-05,1031375
2005-04-01,2018-12-05,2018-12-05,984751
2005-05-01,2018-12-05,2018-12-05,1008702
2005-06-01,2018-12-05,2018-12-05,1046772
2005-07-01,2018-12-05,2018-12-05,969379
2005-08-01,2018-12-05,2018-12-05,1060651
2005-09-01,2018-12-05,2018-12-05,1044233
2005-10-01,2018-12-05,2018-12-05,1037682
2005-11-01,2018-12-05,2018-12-05,1024483
2005-12-01,2018-12-05,2018-12-05,1091473
2006-01-01,2018-12-05,2018-12-05,965506
2006-02-01,2018-12-05,2018-12-05,959851
2006-03-01,2018-12-05,2018-12-05,1115019
2006-04-01,2018-12-05,2018-12-05,1031250
2006-05-01,2018-12-05,2018-12-05,1118661
2006-06-01,2018-12-05,2018-12-05,1130766
2006-07-01,2018-12-05,2018-12-05,1038883
2006-08-01,2018-12-05,2018-12-05,1138855
2006-09-01,2018-12-05,2018-12-05,1069221
2006-10-01,2018-12-05,2018-12-05,1080005
2006-11-01,2018-12-05,2018-12-05,1060801
2006-12-01,2018-12-05,2018-12-05,1119564
2007-01-01,2018-12-05,2018-12-05,1004913
2007-02-01,2018-12-05,2018-12-05,992297
2007-03-01,2018-12-05,2018-12-05,1147403
2007-04-01,2018-12-05,2018-12-05,1097282
2007-05-01,2018-12-05,2018-12-05,1180260
2007-06-01,2018-12-05,2018-12-05,1168094
2007-07-01,2018-12-05,2018-12-05,1104920
2007-08-01,2018-12-05,2018-12-05,1189734
2007-09-01,2018-12-05,2018-12-05,1118575
