date,realtime_end,realtime_start,value
2001-06-01,2018-12-05,2018-12-05,1161695
2001-07-01,2018-12-05,2018-12-05,1152536
2001-08-01,2018-12-05,2018-12-05,1150828
2001-09-01,2018-12-05,2018-12-05,1152421
2001-10-01,2018-12-05,2018-12-05,1165237
2001-11-01,2018-12-05,2018-12-05,1157597
2001-12-01,2018-12-05,2018-12-05,1103923
2002-01-01,2018-12-05,2018-12-05,1111640
2002-02-01,2018-12-05,2018-12-05,1112071
2002-03-01,2018-12-05,2018-12-05,1109602
2002-04-01,2018-12-05,2018-12-05,1111506
2002-05-01,2018-12-05,2018-12-05,1108397
2002-06-01,2018-12-05,2018-12-05,1102590
2002-07-01,2018-12-05,2018-12-05,1106888
2002-08-01,2018-12-05,2018-12-05,1107788
2002-09-01,2018-12-05,2018-12-05,1123981
2002-10-01,2018-12-05,2018-12-05,1155466
2002-11-01,2018-12-05,2018-12-05,1163421
2002-12-01,2018-12-05,2018-12-05,1124357
2003-01-01,2018-12-05,2018-12-05,1133336
2003-02-01,2018-12-05,2018-12-05,1148853
2003-03-01,2018-12-05,2018-12-05,1152247
2003-04-01,2018-12-05,2018-12-05,1155995
2003-05-01,2018-12-05,2018-12-05,1143502
2003-06-01,2018-12-05,2018-12-05,1132545
2003-07-01,2018-12-05,2018-12-05,1127423
2003-08-01,2018-12-05,2018-12-05,1119164
2003-09-01,2018-12-05,2018-12-05,1132069
2003-10-01,2018-12-05,2018-12-05,1167310
2003-11-01,2018-12-05,2018-12-05,1176290
2003-12-01,2018-12-05,2018-12-05,1133494
2004-01-01,2018-12-05,2018-12-05,1142349
2004-02-01,2018-12-05,2018-12-05,1159588
2004-03-01,2018-12-05,2018-12-05,1172616
2004-04-01,2018-12-05,2018-12-05,1182818
2004-05-01,2018-12-05,2018-12-05,1181878
2004-06-01,2018-12-05,2018-12-05,1186159
2004-07-01,2018-12-05,2018-12-05,1194192
2004-08-01,2018-12-05,2018-12-05,1201482
2004-09-01,2018-12-05,2018-12-05,1211812
2004-10-01,2018-12-05,2018-12-05,1248972
2004-11-01,2018-12-05,2018-12-05,1269840
2004-12-01,2018-12-05,2018-12-05,1225450
2005-01-01,2018-12-05,2018-12-05,1245168
2005-02-01,2018-12-05,2018-12-05,1261228
2005-03-01,2018-12-05,2018-12-05,1272998
2005-04-01,2018-12-05,2018-12-05,1281111
2005-05-01,2018-12-05,2018-12-05,1273841
2005-06-01,2018-12-05,2018-12-05,1266265
2005-07-01,2018-12-05,2018-12-05,1259652
2005-08-01,2018-12-05,2018-12-05,1262073
2005-09-01,2018-12-05,2018-12-05,1279664
2005-10-01,2018-12-05,2018-12-05,1316722
2005-11-01,2018-12-05,2018-12-05,1332567
2005-12-01,2018-12-05,2018-12-05,1296279
2006-01-01,2018-12-05,2018-12-05,1314928
2006-02-01,2018-12-05,2018-12-05,1326292
2006-03-01,2018-12-05,2018-12-05,1342439
2006-04-01,2018-12-05,2018-12-05,1354566
2006-05-01,2018-12-05,2018-12-05,1361158
2006-06-01,2018-12-05,2018-12-05,1366616
2006-07-01,2018-12-05,2018-12-05,1371049
2006-08-01,2018-12-05,2018-12-05,1378410
2006-09-01,2018-12-05,2018-12-05,1394671
2006-10-01,2018-12-05,2018-12-05,1427827
2006-11-01,2018-12-05,2018-12-05,1440290
2006-12-01,2018-12-05,2018-12-05,1389464
2007-01-01,2018-12-05,2018-12-05,1404113
2007-02-01,2018-12-05,2018-12-05,1417759
2007-03-01,2018-12-05,2018-12-05,1421965
2007-04-01,2018-12-05,2018-12-05,1432810
2007-05-01,2018-12-05,2018-12-05,1434501
2007-06-01,2018-12-05,2018-12-05,1435032
2007-07-01,2018-12-05,2018-12-05,1437124
2007-08-01,2018-12-05,2018-12-05,1439626
2007-09-01,2018-12-05,2018-12-05,1460055
2007-10-01,2018-12-05,2018-12-05,1495048
2007-11-01,2018-12-05,2018-12-05,1510232
2007-12-01,2018-12-05,2018-12-05,1467827
2008-01-01,2018-12-05,2018-12-05,1492534
2008-02-01,2018-12-05,2018-12-05,1507484
2008-03-01,2018-12-05,2018-12-05,1508542
2008-04-01,2018-12-05,2018-12-05,1518272
2008-05-01,2018-12-05,2018-12-05,1511716
2008-06-01,2018-12-05,2018-12-05,1514790
2008-07-01,2018-12-05,2018-12-05,1526794
2008-08-01,2018-12-05,2018-12-05,1524961
2008-09-01,2018-12-05,2018-12-05,1528606
2008-10-01,2018-12-05,2018-12-05,1544463
2008-11-01,2018-12-05,2018-12-05,1529966
2008-12-01,2018-12-05,2018-12-05,1446587
2009-01-01,2018-12-05,2018-12-05,1438642
2009-02-01,2018-12-05,2018-12-05,1424509
2009-03-01,2018-12-05,2018-12-05,1405771
2009-04-01,2018-12-05,2018-12-05,1389839
