date,realtime_end,realtime_start,value
2001-09-01,2018-12-05,2018-12-05,803309
2001-10-01,2018-12-05,2018-12-05,815803
2001-11-01,2018-12-05,2018-12-05,808360
2001-12-01,2018-12-05,2018-12-05,805951
2002-01-01,2018-12-05,2018-12-05,804530
2002-02-01,2018-12-05,2018-12-05,808326
2002-03-01,2018-12-05,2018-12-05,809321
2002-04-01,2018-12-05,2018-12-05,821966
2002-05-01,2018-12-05,2018-12-05,821757
2002-06-01,2018-12-05,2018-12-05,825493
2002-07-01,2018-12-05,2018-12-05,825684
2002-08-01,2018-12-05,2018-12-05,834808
2002-09-01,2018-12-05,2018-12-05,831313
2002-10-01,2018-12-05,2018-12-05,830076
2002-11-01,2018-12-05,2018-12-05,837065
2002-12-01,2018-12-05,2018-12-05,830004
2003-01-01,2018-12-05,2018-12-05,841167
2003-02-01,2018-12-05,2018-12-05,841720
2003-03-01,2018-12-05,2018-12-05,851067
2003-04-01,2018-12-05,2018-12-05,835512
2003-05-01,2018-12-05,2018-12-05,837261
2003-06-01,2018-12-05,2018-12-05,848257
2003-07-01,2018-12-05,2018-12-05,856235
2003-08-01,2018-12-05,2018-12-05,859502
2003-09-01,2018-12-05,2018-12-05,865137
2003-10-01,2018-12-05,2018-12-05,868807
2003-11-01,2018-12-05,2018-12-05,874536
2003-12-01,2018-12-05,2018-12-05,876058
2004-01-01,2018-12-05,2018-12-05,877224
2004-02-01,2018-12-05,2018-12-05,887056
2004-03-01,2018-12-05,2018-12-05,911415
2004-04-01,2018-12-05,2018-12-05,906235
2004-05-01,2018-12-05,2018-12-05,915816
2004-06-01,2018-12-05,2018-12-05,915033
2004-07-01,2018-12-05,2018-12-05,918064
2004-08-01,2018-12-05,2018-12-05,928903
2004-09-01,2018-12-05,2018-12-05,936361
2004-10-01,2018-12-05,2018-12-05,950118
2004-11-01,2018-12-05,2018-12-05,956112
2004-12-01,2018-12-05,2018-12-05,967154
2005-01-01,2018-12-05,2018-12-05,973109
2005-02-01,2018-12-05,2018-12-05,978821
2005-03-01,2018-12-05,2018-12-05,978299
2005-04-01,2018-12-05,2018-12-05,994093
2005-05-01,2018-12-05,2018-12-05,987157
2005-06-01,2018-12-05,2018-12-05,998615
2005-07-01,2018-12-05,2018-12-05,1004388
2005-08-01,2018-12-05,2018-12-05,1014584
2005-09-01,2018-12-05,2018-12-05,1027808
2005-10-01,2018-12-05,2018-12-05,1035356
2005-11-01,2018-12-05,2018-12-05,1035428
2005-12-01,2018-12-05,2018-12-05,1045805
2006-01-01,2018-12-05,2018-12-05,1058093
2006-02-01,2018-12-05,2018-12-05,1056870
2006-03-01,2018-12-05,2018-12-05,1060517
2006-04-01,2018-12-05,2018-12-05,1059542
2006-05-01,2018-12-05,2018-12-05,1073415
2006-06-01,2018-12-05,2018-12-05,1075670
2006-07-01,2018-12-05,2018-12-05,1071586
2006-08-01,2018-12-05,2018-12-05,1083869
2006-09-01,2018-12-05,2018-12-05,1069648
2006-10-01,2018-12-05,2018-12-05,1064460
2006-11-01,2018-12-05,2018-12-05,1070091
2006-12-01,2018-12-05,2018-12-05,1095840
2007-01-01,2018-12-05,2018-12-05,1080662
2007-02-01,2018-12-05,2018-12-05,1095452
2007-03-01,2018-12-05,2018-12-05,1107453
2007-04-01,2018-12-05,2018-12-05,1114300
2007-05-01,2018-12-05,2018-12-05,1127458
2007-06-01,2018-12-05,2018-12-05,1126525
2007-07-01,2018-12-05,2018-12-05,1124713
2007-08-01,2018-12-05,2018-12-05,1131855
2007-09-01,2018-12-05,2018-12-05,1140107
2007-10-01,2018-12-05,2018-12-05,1153402
2007-11-01,2018-12-05,2018-12-05,1174049
2007-12-01,2018-12-05,2018-12-05,1162915
2008-01-01,2018-12-05,2018-12-05,1178502
2008-02-01,2018-12-05,2018-12-05,1173344
2008-03-01,2018-12-05,2018-12-05,1174953
2008-04-01,2018-12-05,2018-12-05,1194938
2008-05-01,2018-12-05,2018-12-05,1206031
2008-06-01,2018-12-05,2018-12-05,1222720
2008-07-01,2018-12-05,2018-12-05,1218574
2008-08-01,2018-12-05,2018-12-05,1196190
2008-09-01,2018-12-05,2018-12-05,1166753
2008-10-01,2018-12-05,2018-12-05,1115109
2008-11-01,2018-12-05,2018-12-05,1036942
2008-12-01,2018-12-05,2018-12-05,996433
2009-01-01,2018-12-05,2018-12-05,978269
2009-02-01,2018-12-05,2018-12-05,983360
2009-03-01,2018-12-05,2018-12-05,955238
2009-04-01,2018-12-05,2018-12-05,953004
2009-05-01,2018-12-05,2018-12-05,961260
2009-06-01,2018-12-05,2018-12-05,977883
2009-07-01,2018-12-05,2018-12-05,983403
2009-08-01,2018-12-05,2018-12-05,998937
2009-09-01,2018-12-05,2018-12-05,1000119
2009-10-01,2018-12-05,2018-12-05,1011475
2009-11-01,2018-12-05,2018-12-05,1028921
2009-12-01,2018-12-05,2018-12-05,1037009
2010-01-01,2018-12-05,2018-12-05,1046391
2010-02-01,2018-12-05,2018-12-05,1049379
2010-03-01,2018-12-05,2018-12-05,1069710
2010-04-01,2018-12-05,2018-12-05,1082144
2010-05-01,2018-12-05,2018-12-05,1075299
2010-06-01,2018-12-05,2018-12-05,1075924
2010-07-01,2018-12-05,2018-12-05,1085085
2010-08-01,2018-12-05,2018-12-05,1091694
2010-09-01,2018-12-05,2018-12-05,1098430
2010-10-01,2018-12-05,2018-12-05,1118537
2010-11-01,2018-12-05,2018-12-05,1128798
2010-12-01,2018-12-05,2018-12-05,1143215
2011-01-01,2018-12-05,2018-12-05,1168983
2011-02-01,2018-12-05,2018-12-05,1168138
2011-03-01,2018-12-05,2018-12-05,1195730
2011-04-01,2018-12-05,2018-12-05,1204526
2011-05-01,2018-12-05,2018-12-05,1196829
2011-06-01,2018-12-05,2018-12-05,1204772
2011-07-01,2018-12-05,2018-12-05,1213392
2011-08-01,2018-12-05,2018-12-05,1219407
2011-09-01,2018-12-05,2018-12-05,1219311
2011-10-01,2018-12-05,2018-12-05,1229441
2011-11-01,2018-12-05,2018-12-05,1229838
2011-12-01,2018-12-05,2018-12-05,1239626
2012-01-01,2018-12-05,2018-12-05,1251739
2012-02-01,2018-12-05,2018-12-05,1261910
2012-03-01,2018-12-05,2018-12-05,1268245
2012-04-01,2018-12-05,2018-12-05,1270092
2012-05-01,2018-12-05,2018-12-05,1261472
2012-06-01,2018-12-05,2018-12-05,1245918
2012-07-01,2018-12-05,2018-12-05,1247953
2012-08-01,2018-12-05,2018-12-05,1260144
2012-09-01,2018-12-05,2018-12-05,1275699
2012-10-01,2018-12-05,2018-12-05,1272142
2012-11-01,2018-12-05,2018-12-05,1283705
2012-12-01,2018-12-05,2018-12-05,1285434
2013-01-01,2018-12-05,2018-12-05,1292107
2013-02-01,2018-12-05,2018-12-05,1310494
2013-03-01,2018-12-05,2018-12-05,1292853
2013-04-01,2018-12-05,2018-12-05,1283760
2013-05-01,2018-12-05,2018-12-05,1297785
2013-06-01,2018-12-05,2018-12-05,1296462
2013-07-01,2018-12-05,2018-12-05,1297551
2013-08-01,2018-12-05,2018-12-05,1304757
2013-09-01,2018-12-05,2018-12-05,1304828
